6,0,722632000,5032,0
6,0,724569000,4968,1
6,1,740522000,5715,0
6,1,751960000,4285,1
6,0,1149373000,5109,0
6,1,1163093000,5258,0
6,1,1164593000,4742,1
6,0,1189684000,4891,1
6,1,1266797000,5262,0
6,1,1267851000,4738,1
6,1,1360432000,4568,0
6,1,1367674000,5432,1
6,0,1371012000,5010,0
6,0,1372095000,4990,1
6,0,1422720000,4994,0
6,0,1423696000,5006,1
6,0,1446624000,5023,0
6,0,1447657000,4977,1
6,1,1476012000,4190,0
6,1,1480844000,5810,1
6,1,1614663000,4666,0
6,1,1615798000,5334,1
6,0,1614125000,5006,0
6,0,1623236000,4994,1
6,1,1719104000,5141,0
6,1,1720167000,4859,1
6,0,1730663000,5061,0
6,0,1731699000,4939,1
6,1,1779767000,5663,0
6,1,1781095000,4337,1
6,0,1782121000,4980,0
6,0,1783817000,5020,1
6,1,1940333000,5276,0
6,1,1941337000,4724,1
6,0,1943144000,4993,0
6,0,1944135000,5007,1
6,1,1966545000,2190,0
6,1,1967682000,2420,1
6,0,1968171000,2270,0
6,0,1969197000,2340,1
